Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release,Week,Long Weekend,dates
"$89,443,261",-26.5%,103061350,-25.6%,57,The Mummy Returns,19,False,2001-05-06
"$124,750,697",+39.5%,130421791,+26.5%,23,Shrek,20,False,2001-05-13
"$206,443,713",+65.5%,214766296,+64.7%,25,Pearl Harbor,21,False,2001-05-20
"$164,193,396",-20.5%,173116482,-19.4%,53,Pearl Harbor,22,False,2001-05-27
"$136,249,169",-17%,144498974,-16.5%,56,Swordfish,23,False,2001-06-03
"$183,134,030",+34.4%,192521334,+33.2%,57,Lara Croft: Tomb Raider,24,False,2001-06-10
"$191,584,867",+4.6%,207006418,+7.5%,54,The Fast and the Furious,25,False,2001-06-17
"$197,173,477",+2.9%,232202386,+12.2%,57,A.I. Artificial Intelligence,26,False,2001-06-24
"$168,809,092",-14.4%,202065008,-13%,54,Cats & Dogs,27,False,2001-07-01
"$177,508,750",+5.2%,211385698,+4.6%,54,Legally Blonde,28,False,2001-07-08
"$194,797,745",+9.7%,218803824,+3.5%,52,Jurassic Park III,29,False,2001-07-15
"$205,145,437",+5.3%,225717054,+3.2%,57,Planet of the Apes,30,False,2001-07-22
"$241,231,115",+17.6%,259564447,+15%,53,Rush Hour 2,31,False,2001-07-29
"$209,880,289",-13%,231951630,-10.6%,56,American Pie 2,32,False,2001-08-05
"$143,280,736",-31.7%,168437295,-27.4%,54,American Pie 2,33,False,2001-08-12
"$106,209,904",-25.9%,135184358,-19.7%,58,American Pie 2,34,False,2001-08-19
"$100,211,828",-5.6%,134810641,-0.3%,57,Jeepers Creepers,35,False,2001-08-26
"$69,423,827",-30.7%,92421954,-31.4%,58,The Musketeer,36,False,2001-09-02
"$60,853,023",-12.3%,83634364,-9.5%,58,Hardball,37,False,2001-09-09
"$50,534,468",-17%,76015096,-9.1%,55,Hardball,38,False,2001-09-16
"$76,207,503",+50.8%,94625569,+24.5%,58,Don't Say a Word,39,False,2001-09-23
"$105,955,176",+39%,120293722,+27.1%,61,Training Day,40,False,2001-09-30
"$93,729,521",-11.5%,110201848,-8.4%,58,Training Day,41,False,2001-10-07
"$86,426,754",-7.8%,106410808,-3.4%,60,From Hell,42,False,2001-10-14
"$86,607,537",+0.2%,108290922,+1.8%,57,K-PAX,43,False,2001-10-21
"$160,192,502",+85%,179456448,+65.7%,59,"Monsters, Inc.",44,False,2001-10-28
"$142,487,373",-11.1%,162305030,-9.6%,58,"Monsters, Inc.",45,False,2001-11-04
"$223,787,194",+57.1%,249674543,+53.8%,58,Harry Potter and the Sorcerer's Stone,46,False,2001-11-11
"$162,252,912",-27.5%,179189822,-28.2%,56,Harry Potter and the Sorcerer's Stone,47,False,2001-11-18
"$98,071,631",-39.6%,110243057,-38.5%,57,Harry Potter and the Sorcerer's Stone,48,False,2001-11-25
"$104,219,501",+6.3%,113047112,+2.5%,56,Ocean's Eleven,49,False,2001-12-02
"$143,043,356",+37.3%,151604533,+34.1%,50,Vanilla Sky,50,False,2001-12-09
"$247,812,996",+73.2%,287952227,+89.9%,50,The Lord of the Rings: The Fellowship of the Ring,51,False,2001-12-16
"$236,081,226",-4.7%,290520484,+0.9%,57,The Lord of the Rings: The Fellowship of the Ring,52,False,2001-12-23
"$125,150,845",-47%,160260760,-44.8%,54,The Lord of the Rings: The Fellowship of the Ring,1,False,2001-12-30
"$105,419,434",-15.8%,138189002,-13.8%,54,The Lord of the Rings: The Fellowship of the Ring,2,False,2002-01-06
"$142,783,138",+35.4%,176703388,+27.9%,48,Black Hawk Down,3,False,2002-01-13
"$129,215,139",-9.5%,164197937,-7.1%,55,Black Hawk Down,4,False,2002-01-20
"$92,011,359",-28.8%,125959322,-23.3%,56,Black Hawk Down,5,False,2002-01-27
"$101,100,925",+9.9%,135636421,+7.7%,57,Collateral Damage,6,False,2002-02-03
"$136,062,507",+34.6%,192176483,+41.7%,56,John Q,7,False,2002-02-10
"$94,442,446",-30.6%,135869548,-29.3%,58,Queen of the Damned,8,False,2002-02-17
"$97,393,473",+3.1%,133835495,-1.5%,60,We Were Soldiers,9,False,2002-02-24
"$102,850,747",+5.6%,138475523,+3.5%,61,The Time Machine,10,False,2002-03-03
"$147,463,735",+43.4%,176533038,+27.5%,60,Ice Age,11,False,2002-03-10
"$153,685,546",+4.2%,185534613,+5.1%,63,Blade II,12,False,2002-03-17
"$155,555,051",+1.2%,189213523,+2%,65,Panic Room,13,False,2002-03-24
"$109,222,411",-29.8%,136942038,-27.6%,63,Panic Room,14,False,2002-03-31
"$99,373,208",-9%,123685270,-9.7%,68,Changing Lanes,15,False,2002-04-07
"$109,577,383",+10.3%,132713023,+7.3%,72,The Scorpion King,16,False,2002-04-14
"$82,752,924",-24.5%,107627233,-18.9%,76,The Scorpion King,17,False,2002-04-21
"$193,752,412",+134.1%,214333883,+99.1%,74,Spider-Man,18,False,2002-04-28
"$170,767,681",-11.9%,191389423,-10.7%,77,Spider-Man,19,False,2002-05-05
"$216,326,534",+26.7%,230168167,+20.3%,73,Star Wars: Episode II - Attack of the Clones,20,False,2002-05-12
"$223,150,405",+3.2%,237842428,+3.3%,83,Star Wars: Episode II - Attack of the Clones,21,False,2002-05-19
"$163,228,296",-26.9%,174572196,-26.6%,85,The Sum of All Fears,22,False,2002-05-26
"$146,882,788",-10%,161402751,-7.5%,88,The Sum of All Fears,23,False,2002-06-02
"$216,568,990",+47.4%,238001770,+47.5%,95,Scooby-Doo,24,False,2002-06-09
"$219,151,244",+1.2%,244262032,+2.6%,90,Lilo & Stitch,25,False,2002-06-16
"$224,957,382",+2.6%,266743638,+9.2%,95,Mr. Deeds,26,False,2002-06-23
"$197,221,709",-12.3%,226421108,-15.1%,90,Men in Black II,27,False,2002-06-30
"$182,117,892",-7.7%,216742000,-4.3%,102,Men in Black II,28,False,2002-07-07
"$140,803,266",-22.7%,183150628,-15.5%,111,Stuart Little 2,29,False,2002-07-14
"$192,468,185",+36.7%,227583310,+24.3%,115,Austin Powers in Goldmember,30,False,2002-07-21
"$211,694,643",+10%,249895949,+9.8%,120,Signs,31,False,2002-07-28
"$181,202,329",-14.4%,202730811,-18.9%,119,xXx,32,False,2002-08-04
"$134,962,901",-25.5%,158607601,-21.8%,127,xXx,33,False,2002-08-11
"$94,292,596",-30.1%,120228427,-24.2%,131,Signs,34,False,2002-08-18
"$93,211,027",-1.1%,129361788,+7.6%,133,Signs,35,False,2002-08-25
"$77,715,804",-16.6%,99978086,-22.7%,130,My Big Fat Greek Wedding,36,False,2002-09-01
"$88,801,872",+14.3%,108809296,+8.8%,137,Barbershop,37,False,2002-09-08
"$82,321,607",-7.3%,102645742,-5.7%,140,Barbershop,38,False,2002-09-15
"$111,007,362",+34.8%,128624892,+25.3%,145,Sweet Home Alabama,39,False,2002-09-22
"$116,787,452",+5.2%,131424225,+2.2%,137,Red Dragon,40,False,2002-09-29
"$105,241,563",-9.9%,124299189,-5.4%,142,Red Dragon,41,False,2002-10-06
"$86,358,920",-17.9%,117587412,-5.4%,140,The Ring,42,False,2002-10-13
"$106,441,002",+23.3%,139241348,+18.4%,147,Jackass: The Movie,43,False,2002-10-20
"$123,953,732",+16.5%,152102676,+9.2%,136,The Santa Clause 2,44,False,2002-10-27
"$162,440,454",+31%,189316187,+24.5%,130,8 Mile,45,False,2002-11-03
"$188,060,942",+15.8%,206834918,+9.3%,132,Harry Potter and the Chamber of Secrets,46,False,2002-11-10
"$211,256,076",+12.3%,243785601,+17.9%,135,Die Another Day,47,False,2002-11-17
"$146,566,876",-30.6%,176377460,-27.7%,126,Die Another Day,48,False,2002-11-24
"$80,272,776",-45.2%,105096355,-40.4%,124,Die Another Day,49,False,2002-12-01
"$146,052,458",+81.9%,172465810,+64.1%,120,The Lord of the Rings: The Two Towers,50,False,2002-12-08
"$245,843,664",+68.3%,291116393,+68.8%,118,The Lord of the Rings: The Two Towers,51,False,2002-12-15
"$276,423,123",+12.4%,333491599,+14.6%,124,The Lord of the Rings: The Two Towers,52,False,2002-12-22
"$134,036,249",-51.5%,171188651,-48.7%,116,The Lord of the Rings: The Two Towers,1,False,2002-12-29
"$107,694,842",-19.7%,146495448,-14.4%,111,Just Married,2,False,2003-01-05
"$116,445,830",+8.1%,150350044,+2.6%,128,Kangaroo Jack,3,False,2003-01-12
"$94,584,845",-18.8%,131153253,-12.8%,125,Darkness Falls,4,False,2003-01-19
"$103,820,520",+9.8%,143657346,+9.5%,118,The Recruit,5,False,2003-01-26
"$117,835,448",+13.5%,151070604,+5.2%,115,How to Lose a Guy in 10 Days,6,False,2003-02-02
"$136,972,817",+16.2%,157143558,+4%,122,Daredevil,7,False,2003-02-09
"$113,587,032",-17.1%,144922471,-7.8%,121,Old School,8,False,2003-02-16
"$102,989,392",-9.3%,133848278,-7.6%,124,Cradle 2 the Grave,9,False,2003-02-23
"$120,224,305",+16.7%,146664455,+9.6%,130,Bringing Down the House,10,False,2003-03-02
"$111,507,945",-7.3%,138361472,-5.7%,127,Bringing Down the House,11,False,2003-03-09
"$102,079,601",-8.5%,129654540,-6.3%,133,Bringing Down the House,12,False,2003-03-16
"$101,766,976",-0.3%,131760042,+1.6%,139,Head of State,13,False,2003-03-23
"$96,977,932",-4.7%,125682368,-4.6%,141,Phone Booth,14,False,2003-03-30
"$109,074,895",+12.5%,138999836,+10.6%,145,Anger Management,15,False,2003-04-06
"$115,661,454",+6%,150015504,+7.9%,154,Anger Management,16,False,2003-04-13
"$87,630,592",-24.2%,115704923,-22.9%,164,Identity,17,False,2003-04-20
"$172,355,654",+96.7%,193158104,+66.9%,152,X2: X-Men United,18,False,2003-04-27
"$162,573,311",-5.7%,181964977,-5.8%,144,X2: X-Men United,19,False,2003-05-04
"$199,883,237",+22.9%,212207572,+16.6%,145,The Matrix Reloaded,20,False,2003-05-11
"$220,005,969",+10.1%,236622316,+11.5%,126,Bruce Almighty,21,False,2003-05-18
"$226,810,444",+3.1%,241229014,+1.9%,129,Finding Nemo,22,False,2003-05-25
"$211,865,876",-6.6%,225325313,-6.6%,130,Finding Nemo,23,False,2003-06-01
"$170,199,754",-19.7%,184920537,-17.9%,131,Finding Nemo,24,False,2003-06-08
"$196,370,311",+15.4%,215937229,+16.8%,128,Hulk,25,False,2003-06-15
"$196,040,471",-0.2%,230985347,+7%,141,Charlie's Angels: Full Throttle,26,False,2003-06-22
"$206,871,458",+5.5%,231921446,+0.4%,134,Terminator 3: Rise of the Machines,27,False,2003-06-29
"$202,055,408",-2.3%,224545691,-3.2%,132,Pirates of the Caribbean: The Curse of the Black Pearl,28,False,2003-07-06
"$206,400,233",+2.2%,232756104,+3.7%,133,Bad Boys II,29,False,2003-07-13
"$214,884,467",+4.1%,241791369,+3.9%,138,Spy Kids 3: Game Over,30,False,2003-07-20
"$195,809,767",-8.9%,228624368,-5.4%,128,American Wedding,31,False,2003-07-27
"$182,750,020",-6.7%,206713355,-9.6%,126,S.W.A.T.,32,False,2003-08-03
"$181,447,752",-0.7%,211943495,+2.5%,127,Freddy vs. Jason,33,False,2003-08-10
"$111,028,396",-38.8%,144324263,-31.9%,134,Freddy vs. Jason,34,False,2003-08-17
"$105,385,247",-5.1%,132640882,-8.1%,138,Jeepers Creepers 2,35,False,2003-08-24
"$57,816,544",-45.1%,86378275,-34.9%,141,Jeepers Creepers 2,36,False,2003-08-31
"$87,669,744",+51.6%,111086142,+28.6%,150,Once Upon a Time in Mexico,37,False,2003-09-07
"$107,871,148",+23%,133597948,+20.3%,142,Underworld,38,False,2003-09-14
"$94,116,313",-12.8%,118670384,-11.2%,145,The Rundown,39,False,2003-09-21
"$100,219,494",+6.5%,127396594,+7.4%,147,School of Rock,40,False,2003-09-28
"$94,452,937",-5.8%,116728853,-8.4%,152,School of Rock,41,False,2003-10-05
"$127,597,421",+35.1%,147637665,+26.5%,151,The Texas Chainsaw Massacre,42,False,2003-10-12
"$144,798,152",+13.5%,164243626,+11.2%,156,Scary Movie 3,43,False,2003-10-19
"$142,632,016",-1.5%,166859353,+1.6%,149,The Matrix Revolutions,44,False,2003-10-26
"$189,851,538",+33.1%,208673959,+25.1%,145,The Matrix Revolutions,45,False,2003-11-02
"$143,428,928",-24.5%,164221943,-21.3%,139,Master and Commander: The Far Side of the World,46,False,2003-11-09
"$184,827,015",+28.9%,215821255,+31.4%,136,The Cat in the Hat,47,False,2003-11-16
"$162,732,405",-12%,188370299,-12.7%,131,The Haunted Mansion,48,False,2003-11-23
"$108,864,836",-33.1%,125991820,-33.1%,127,The Last Samurai,49,False,2003-11-30
"$145,769,857",+33.9%,169799818,+34.8%,129,The Lord of the Rings: The Return of the King,50,False,2003-12-07
"$224,435,111",+54%,264385950,+55.7%,112,The Lord of the Rings: The Return of the King,51,False,2003-12-14
"$301,114,793",+34.2%,356699125,+34.9%,101,The Lord of the Rings: The Return of the King,52,False,2003-12-21
"$145,460,844",-51.7%,180564994,-49.4%,112,The Lord of the Rings: The Return of the King,1,False,2003-12-28
"$105,697,665",-27.3%,136950341,-24.2%,109,The Lord of the Rings: The Return of the King,2,False,2004-01-04
"$117,665,122",+11.3%,152382375,+11.3%,117,Along Came Polly,3,False,2004-01-11
"$99,165,878",-15.7%,130816168,-14.2%,119,The Butterfly Effect,4,False,2004-01-18
"$81,818,183",-17.5%,121054777,-7.5%,116,You Got Served,5,False,2004-01-25
"$102,526,699",+25.3%,138085206,+14.1%,120,Barbershop 2: Back in Business,6,False,2004-02-01
"$128,578,099",+25.4%,156764514,+13.5%,132,50 First Dates,7,False,2004-02-08
"$122,193,687",-5%,159058955,+1.5%,134,The Passion of the Christ,8,False,2004-02-15
"$183,185,783",+49.9%,212141763,+33.4%,124,The Passion of the Christ,9,False,2004-02-22
"$165,781,986",-9.5%,188315756,-11.2%,119,The Passion of the Christ,10,False,2004-02-29
"$137,387,622",-17.1%,160604256,-14.7%,127,The Passion of the Christ,11,False,2004-03-07
"$134,562,019",-2.1%,153632555,-4.3%,130,Dawn of the Dead,12,False,2004-03-14
"$129,285,946",-3.9%,152021839,-1%,135,Scooby-Doo 2: Monsters Unleashed,13,False,2004-03-21
"$148,192,032",+14.6%,177525969,+16.8%,123,Hellboy,14,False,2004-03-28
"$121,628,443",-17.9%,161928722,-8.8%,131,The Passion of the Christ,15,False,2004-04-04
"$98,769,089",-18.8%,128915774,-20.4%,133,Kill Bill: Vol. 2,16,False,2004-04-11
"$99,756,364",+1%,126132120,-2.2%,135,Man on Fire,17,False,2004-04-18
"$101,595,849",+1.8%,128724662,+2.1%,148,Mean Girls,18,False,2004-04-25
"$124,651,728",+22.7%,143732121,+11.7%,155,Van Helsing,19,False,2004-05-02
"$148,641,330",+19.2%,166321909,+15.7%,155,Troy,20,False,2004-05-09
"$217,254,127",+46.2%,231000848,+38.9%,156,Shrek 2,21,False,2004-05-16
"$279,550,153",+28.7%,292023485,+26.4%,147,Shrek 2,22,False,2004-05-23
"$248,351,087",-11.2%,257969082,-11.7%,138,Harry Potter and the Prisoner of Azkaban,23,False,2004-05-30
"$217,145,549",-12.6%,231973047,-10.1%,130,Harry Potter and the Prisoner of Azkaban,24,False,2004-06-06
"$201,083,595",-7.4%,219799863,-5.2%,130,Dodgeball: A True Underdog Story,25,False,2004-06-13
"$219,488,972",+9.2%,255363039,+16.2%,117,Spider-Man 2,26,False,2004-06-20
"$241,374,271",+10%,266416517,+4.3%,112,Spider-Man 2,27,False,2004-06-27
"$202,206,877",-16.2%,230965174,-13.3%,114,Spider-Man 2,28,False,2004-07-04
"$201,100,683",-0.5%,232301328,+0.6%,116,"I, Robot",29,False,2004-07-11
"$191,487,933",-4.8%,217408468,-6.4%,118,The Bourne Supremacy,30,False,2004-07-18
"$199,151,078",+4%,232733356,+7%,116,The Village,31,False,2004-07-25
"$148,013,258",-25.7%,184247609,-20.8%,123,Collateral,32,False,2004-08-01
"$169,104,557",+14.2%,198312585,+7.6%,122,Alien vs. Predator,33,False,2004-08-08
"$133,010,606",-21.3%,166479959,-16.1%,122,Exorcist: The Beginning,34,False,2004-08-15
"$104,635,879",-21.3%,142341283,-14.5%,128,Hero,35,False,2004-08-22
"$74,837,562",-28.5%,115372914,-18.9%,126,Without a Paddle,36,False,2004-08-29
"$74,430,133",-0.5%,103105986,-10.6%,123,Resident Evil: Apocalypse,37,False,2004-09-05
"$73,879,505",-0.7%,98316332,-4.6%,137,Sky Captain and the World of Tomorrow,38,False,2004-09-12
"$70,642,570",-4.4%,91774776,-6.7%,150,The Forgotten,39,False,2004-09-19
"$120,749,298",+70.9%,141381641,+54.1%,140,Shark Tale,40,False,2004-09-26
"$121,933,539",+1%,137457770,-2.8%,148,Shark Tale,41,False,2004-10-03
"$107,377,130",-11.9%,122836427,-10.6%,149,Shark Tale,42,False,2004-10-10
"$119,661,264",+11.4%,134235918,+9.3%,145,The Grudge,43,False,2004-10-17
"$117,036,220",-2.2%,133140723,-0.8%,138,The Grudge,44,False,2004-10-24
"$179,363,705",+53.3%,199126382,+49.6%,127,The Incredibles,45,False,2004-10-31
"$158,196,321",-11.8%,175922676,-11.7%,125,The Incredibles,46,False,2004-11-07
"$209,636,892",+32.5%,236003513,+34.2%,118,National Treasure,47,False,2004-11-14
"$170,492,639",-18.7%,190490670,-19.3%,114,National Treasure,48,False,2004-11-21
"$100,820,917",-40.9%,118568064,-37.8%,114,National Treasure,49,False,2004-11-28
"$128,965,350",+27.9%,141349324,+19.2%,119,Ocean's Twelve,50,False,2004-12-05
"$175,539,557",+36.1%,204070862,+44.4%,106,A Series of Unfortunate Events,51,False,2004-12-12
"$250,601,052",+42.8%,307703200,+50.8%,101,Meet the Fockers,52,False,2004-12-19
"$149,949,957",-40.2%,193280990,-37.2%,99,Meet the Fockers,53,False,2004-12-26
"$116,733,182",-22.2%,150997898,-21.9%,103,Meet the Fockers,1,False,2005-01-02
"$148,652,073",+27.3%,186167827,+23.3%,95,Coach Carter,2,False,2005-01-09
"$101,165,462",-31.9%,129369622,-30.5%,109,Are We There Yet?,3,False,2005-01-16
"$120,245,513",+18.9%,153487355,+18.6%,112,Hide and Seek,4,False,2005-01-23
"$101,655,494",-15.5%,130493848,-15%,117,Boogeyman,5,False,2005-01-30
"$130,337,692",+28.2%,160157268,+22.7%,121,Hitch,6,False,2005-02-06
"$144,039,615",+10.5%,171946928,+7.4%,125,Hitch,7,False,2005-02-13
"$121,725,989",-15.5%,152711472,-11.2%,119,Diary of a Mad Black Woman,8,False,2005-02-20
"$128,015,285",+5.2%,152314032,-0.3%,119,The Pacifier,9,False,2005-02-27
"$130,040,752",+1.6%,151479470,-0.5%,129,Robots,10,False,2005-03-06
"$139,409,503",+7.2%,162866110,+7.5%,127,The Ring Two,11,False,2005-03-13
"$125,389,514",-10.1%,147441883,-9.5%,134,Guess Who,12,False,2005-03-20
"$116,404,055",-7.2%,132976367,-9.8%,132,Sin City,13,False,2005-03-27
"$95,189,183",-18.2%,111591498,-16.1%,129,Sahara,14,False,2005-04-03
"$91,209,895",-4.2%,107033627,-4.1%,132,The Amityville Horror,15,False,2005-04-10
"$99,077,322",+8.6%,118680249,+10.9%,132,The Interpreter,16,False,2005-04-17
"$95,826,045",-3.3%,112874640,-4.9%,140,The Hitchhiker's Guide to the Galaxy,17,False,2005-04-24
"$98,276,444",+2.6%,110977587,-1.7%,139,Kingdom of Heaven,18,False,2005-05-01
"$134,609,269",+37%,151574167,+36.6%,142,Star Wars: Episode III - Revenge of the Sith,19,False,2005-05-08
"$216,649,339",+60.9%,227332213,+50%,132,Star Wars: Episode III - Revenge of the Sith,20,False,2005-05-15
"$254,748,427",+17.6%,267095044,+17.5%,130,Star Wars: Episode III - Revenge of the Sith,21,False,2005-05-22
"$173,188,106",-32%,182384542,-31.7%,126,Madagascar,22,False,2005-05-29
"$210,183,422",+21.4%,227278917,+24.6%,139,Mr. & Mrs. Smith,23,False,2005-06-05
"$188,677,155",-10.2%,206201697,-9.3%,136,Batman Begins,24,False,2005-06-12
"$201,002,194",+6.5%,227344720,+10.3%,138,Batman Begins,25,False,2005-06-19
"$209,750,732",+4.4%,231678828,+1.9%,131,War of the Worlds,26,False,2005-06-26
"$196,319,137",-6.4%,217495971,-6.1%,124,Fantastic Four,27,False,2005-07-03
"$233,648,612",+19%,252658147,+16.2%,125,Charlie and the Chocolate Factory,28,False,2005-07-10
"$189,368,165",-19%,216578946,-14.3%,128,Charlie and the Chocolate Factory,29,False,2005-07-17
"$163,429,818",-13.7%,191841145,-11.4%,129,Wedding Crashers,30,False,2005-07-24
"$149,546,408",-8.5%,176268534,-8.1%,135,The Dukes of Hazzard,31,False,2005-07-31
"$147,068,194",-1.7%,177537610,+0.7%,126,Four Brothers,32,False,2005-08-07
"$132,177,821",-10.1%,162612842,-8.4%,122,The 40-Year-Old Virgin,33,False,2005-08-14
"$105,703,893",-20%,135457184,-16.7%,136,The 40-Year-Old Virgin,34,False,2005-08-21
"$84,039,325",-20.5%,107387120,-20.7%,134,Transporter 2,35,False,2005-08-28
"$89,778,479",+6.8%,110491833,+2.9%,138,The Exorcism of Emily Rose,36,False,2005-09-04
"$83,116,000",-7.4%,105730155,-4.3%,142,Just Like Heaven,37,False,2005-09-11
"$105,074,595",+26.4%,126031680,+19.2%,143,Flightplan,38,False,2005-09-18
"$91,201,191",-13.2%,114799346,-8.9%,148,Flightplan,39,False,2005-09-25
"$108,618,142",+19.1%,142177761,+23.8%,147,The Curse of the Were-Rabbit,40,False,2005-10-02
